ano,regiao,equipes_por_10mil
2007,Nordeste,2.47
2007,Sudeste,1.63
2008,Nordeste,2.58
2008,Sudeste,1.81
2009,Nordeste,2.58
2009,Sudeste,1.84
2010,Nordeste,2.61
2010,Sudeste,1.87
2011,Nordeste,2.6
2011,Sudeste,1.94
2012,Nordeste,2.61
2012,Sudeste,2.0
2013,Nordeste,2.77
2013,Sudeste,2.06
2014,Nordeste,2.85
2014,Sudeste,2.16
2015,Nordeste,2.88
2015,Sudeste,2.16
2016,Nordeste,2.85
2016,Sudeste,2.21
2017,Nordeste,2.92
2017,Sudeste,2.23
2018,Nordeste,2.89
2018,Sudeste,2.22
2019,Nordeste,3.0
2019,Sudeste,2.21
2020,Nordeste,3.08
2020,Sudeste,2.28
